meta: javascript, 100 files, 1152k
lanugage,workers,elapsed
js,1,62.32
js,2,24.66
js,3,130.78
js,4,14.79
js,5,9.54
js,6,8.07
js,7,6.88
js,8,6.08
js,9,5.40
js,10,8.96
js,11,4.47
js,12,4.19
js,13,3.74
js,14,3.47
js,15,3.55
js,16,3.33
js,17,3.12
js,18,2.99
js,19,2.91
js,20,2.68
js,21,2.65
js,22,2.57
js,23,10.40
js,24,2.51
js,25,2.26
js,26,2.40
js,27,6.06
js,28,2.08
js,29,2.25
js,30,2.12
js,31,2.12
js,32,2.06
js,33,1.93
js,34,4.23
js,35,2.03
js,36,1.96
js,37,1.93
js,38,3.28
js,39,1.82
js,40,1.99
js,41,1.89
js,42,2.00
js,43,2.04
js,44,1.88
js,45,2.06
js,46,1.97
js,47,4.92
js,48,2.41
js,49,2.36
js,50,2.33
js,51,1.63
js,52,1.46
js,53,1.69
js,54,1.54
js,55,1.39
js,56,1.41
js,57,1.55
js,58,1.44
js,59,1.45
js,60,1.55
js,61,1.49
js,62,1.39
js,63,1.63
js,64,1.55
js,65,1.70
js,66,3.12
js,67,1.47
js,68,1.43
js,69,1.44
js,70,1.42
js,71,2.08
js,72,1.42
js,73,2.15
js,74,1.33
js,75,1.46
js,76,1.47
js,77,1.31
js,78,1.37
js,79,1.46
js,80,1.42
js,81,5.32
js,82,1.41
js,83,1.41
js,84,4.17
js,85,1.47
js,86,1.62
js,87,1.47
js,88,6.45
js,89,6.37
js,90,1.25
js,91,6.82
js,92,1.38
js,93,1.25
js,94,5.69
js,95,1.22
js,96,1.35
js,97,1.25
js,98,1.19
js,99,1.26
js,100,1.22
