nguage,num_workers,duration
python,5,6.29
python,6,5.04
python,7,4.79
python,8,4.15
python,9,3.83
python,10,3.50
python,11,3.41
python,12,2.95
python,13,3.04
python,14,2.73
python,15,2.65
python,16,2.51
python,17,2.83
python,18,2.54
python,19,2.45
python,20,2.43
python,21,2.42
python,22,11.14
python,23,2.19
python,24,2.30
python,25,2.17
python,26,3.27
python,27,3.79
python,28,2.06
python,29,2.07
python,30,2.31
python,31,2.25
python,32,2.11
python,33,2.10
python,34,2.12
python,35,2.10
python,36,2.02
python,37,1.93
python,38,2.39
python,39,2.33
python,40,2.22
python,41,2.33
python,42,2.32
python,43,2.15
python,44,2.05
python,45,2.31
python,46,2.30
python,47,2.45
python,48,2.31
python,49,2.24
python,50,2.19
python,51,2.19
python,52,2.92
python,53,2.41
python,54,2.53
python,55,2.40
python,56,2.42
python,57,3.73
python,58,2.60
python,59,4.31
python,60,2.33
python,61,2.35
python,62,2.55
python,63,3.25
python,64,2.73
python,65,10.93
python,66,4.54
python,67,2.73
python,68,2.86
python,69,2.70
python,70,2.73
python,71,2.92
python,72,2.67
python,73,2.66
python,74,2.69
python,75,3.54
python,76,2.87
python,77,2.91
python,78,2.77
python,79,2.47
python,80,2.78
python,81,2.85
python,82,2.45
python,83,3.25
python,84,2.63
python,85,2.82
python,86,2.71
python,87,2.60
python,88,7.52
python,89,2.60
python,90,2.75
python,91,2.80
python,92,3.65
python,93,6.57
python,94,2.45
python,95,2.95
python,96,2.77
python,97,2.94
python,98,2.73
python,99,7.64
python,100,7.66
